Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
957.628853661,603893.898214,8024763.47779,-22.7584228516
969.307254316,603883.829031,8024757.562,-23.7020587921
980.98565497,603873.759847,8024751.64621,-23.9511089325
992.664055625,603863.690664,8024745.73042,-24.3090229034
1004.34245628,603853.621481,8024739.81463,-24.6379375458
1016.02085693,603843.552298,8024733.89883,-25.1857414246
1027.69925759,603833.483115,8024727.98304,-24.9807186127
1039.37765824,603823.413932,8024722.06725,-25.0454540253
1051.0560589,603813.344749,8024716.15146,-25.7782859802
1062.73445955,603803.275566,8024710.23567,-25.5398235321
1074.41286021,603793.206383,8024704.31988,-25.9283294678
1086.09126086,603783.137199,8024698.40408,-26.7438659668
1097.76966151,603773.068016,8024692.48829,-27.5053443909
1109.44806217,603762.998833,8024686.5725,-28.0028781891
1121.12646282,603752.92965,8024680.65671,-28.0432910919
1132.80486348,603742.860467,8024674.74092,-29.0408210754
1144.48326413,603732.791284,8024668.82512,-29.3530883789
1156.16166479,603722.722101,8024662.90933,-30.2353897095
1167.84006544,603712.652918,8024656.99354,-31.1425457001
1179.5184661,603702.583735,8024651.07775,-31.7092647552
1191.19686675,603692.514551,8024645.16196,-31.3087062836
1202.8752674,603682.445368,8024639.24617,-31.2527141571
1214.55366806,603672.376185,8024633.33037,-31.8265094757
1226.23206871,603662.307002,8024627.41458,-32.1056747437
1237.91046937,603652.237819,8024621.49879,-31.925447464
1249.58887002,603642.168636,8024615.583,-32.0047912598
1261.26727068,603632.099453,8024609.66721,-31.6521606445
