Distance (m),UTM 52 Lon,UTM 52 Lat,S2 Reflectance
1409.0723478,508080.013946,7993935.51507,6128
1420.89684852,508074.808132,7993924.89818,6145
1432.97299349,508073.013809,7993912.95608,6164
1445.04913846,508071.219486,7993901.01398,6189
1466.09938482,508063.416008,7993881.46357,5749
1487.07652722,508054.060959,7993862.68796,6105
1497.93363,508052.00341,7993852.02761,6128
1508.79073277,508049.94586,7993841.36725,5990
1520.57728074,508047.358171,7993829.86827,5876
1532.36382871,508044.770481,7993818.36929,5854
1552.57228721,508039.615981,7993798.82925,5974
1563.92985444,508035.717355,7993788.16178,6029
1575.28742168,508031.818729,7993777.4943,5992
1587.07398704,508029.230857,7993765.99534,6007
1598.8605524,508026.642984,7993754.49639,5952
1610.21814841,508022.744206,7993743.82893,5945
1621.57574441,508018.845428,7993733.16148,5855
1641.7842569,508013.690466,7993713.62152,5955
1662.75142839,508006.402328,7993693.96178,6018
1673.69169855,508002.501607,7993683.74053,6048
1684.63196871,507998.600887,7993673.51928,6086
1695.87239141,507996.544363,7993662.46859,6048
1707.11281412,507994.487839,7993651.4179,6016
1729.4074494,507982.481353,7993632.6324,5987
1751.42675347,507970.99084,7993613.84895,5755
1769.27350182,507971.059474,7993596.00233,5799
1779.5406827,507975.221814,7993605.38796,5765
1800.96000272,507993.036506,7993617.28014,5859
